vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
0,0,0,0,0,0,4891,1097,19,0,0,1,15,0,1,0
0,0,0,0,0,0,4921,1060,17,0,2,1,10,0,2,0
0,0,0,0,0,0,4948,1080,84,0,2,0,93,0,0,0
0,0,0,0,0,0,4890,1104,5,0,0,1,1,0,0,0
0,0,0,0,0,0,4834,1121,111,0,2,3,76,2,2,0
0,0,0,0,0,0,4938,1067,4,0,0,0,2,0,0,0
0,0,0,0,0,0,4976,1059,200,0,3,0,247,1,4,4
0,0,0,0,0,0,4884,1062,233,0,7,2,264,2,1,0
0,0,0,0,0,0,4897,1106,31,0,2,0,26,0,2,0
0,0,0,0,0,0,4886,1113,3,0,0,0,1,0,0,0
0,0,0,0,0,0,4893,1105,248,0,2,2,273,1,6,1
0,0,0,0,0,0,4873,1109,46,0,1,0,49,1,2,0
0,0,0,0,0,0,4912,1075,60,0,1,1,44,0,1,0
0,0,0,0,0,0,4874,1106,121,0,1,0,110,1,0,1
0,0,0,0,0,0,4873,1080,57,0,3,0,36,2,2,0
0,0,0,0,0,0,4936,1074,56,0,1,0,55,2,2,0
0,0,0,0,0,0,4893,1099,120,0,3,1,88,2,0,1
0,0,0,0,0,0,4875,1104,12,0,0,0,4,0,0,0
0,0,0,0,0,0,4903,1076,91,0,4,1,115,2,0,1
0,0,0,0,0,0,4885,1116,211,0,7,3,237,3,2,4
0,0,0,0,0,0,4868,1105,128,0,4,0,118,2,3,2
0,0,0,0,0,0,4858,1098,79,0,1,1,75,0,1,0
1,0,1,1,0,0,4934,1110,134,0,3,2,150,6,4,0
0,0,0,0,0,0,4928,1095,21,0,0,1,15,0,1,0
0,0,0,0,0,0,4856,1144,182,0,4,2,195,4,0,0
0,0,0,0,0,0,4875,1108,6,0,1,0,1,0,0,0
0,0,0,0,0,0,4893,1094,24,0,1,0,8,0,0,0
0,0,0,0,0,0,4815,1116,9,0,0,1,5,0,0,0
0,0,0,0,0,0,4911,1075,191,0,4,2,176,3,2,0
0,0,0,0,0,0,4863,1097,23,0,1,0,17,0,1,0
0,0,0,0,0,0,4945,1078,31,0,2,1,38,0,0,0
0,0,0,0,0,0,4944,1107,44,0,3,0,38,1,1,0
1,0,1,1,1,0,4894,1088,159,0,5,2,245,0,5,1
0,0,0,0,0,0,4882,1078,214,0,6,3,214,0,2,1
0,0,0,0,0,0,4896,1084,138,0,2,3,134,1,2,1
0,0,0,0,0,0,4984,1069,69,0,3,0,55,0,0,0
0,0,0,0,0,0,4865,1109,256,0,6,4,249,0,3,0
0,0,0,0,0,0,4956,1093,59,0,1,0,31,2,2,0
0,0,0,0,0,0,4913,1095,160,0,2,1,240,0,1,0
0,0,0,0,0,0,4912,1064,1,0,0,0,3,0,0,0
1,0,1,1,0,0,4976,1069,265,0,6,3,292,4,5,1
2,0,2,2,0,0,4921,1104,181,0,1,3,184,0,5,0
0,0,0,0,0,0,4867,1092,52,0,3,1,70,0,0,1
0,0,0,0,0,0,4855,1080,95,0,2,2,93,0,0,0
0,0,0,0,0,0,4933,1083,98,0,5,0,74,3,1,0
0,0,0,0,0,0,4922,1079,3,0,0,0,9,0,0,0
0,0,0,0,0,0,4855,1090,26,0,0,1,12,1,0,1
0,0,0,0,0,0,4975,1099,44,0,4,1,34,0,2,0
0,0,0,0,0,0,4904,1109,183,0,7,0,230,2,1,3
0,0,0,0,0,0,4894,1102,218,0,3,2,288,4,3,4
0,0,0,0,0,0,4910,1065,102,0,1,0,110,1,2,0
0,0,0,0,0,0,4959,1065,106,0,5,0,107,1,1,1
0,0,0,0,0,0,4907,1091,192,0,5,2,224,1,1,1
0,0,0,0,0,0,4927,1105,34,0,2,0,28,0,0,0
0,0,0,0,0,0,4927,1074,16,0,2,0,10,0,0,0
1,0,1,1,1,0,4915,1089,175,0,2,1,225,1,0,2
0,0,0,0,0,0,4892,1084,20,0,0,0,23,0,0,0
0,0,0,0,0,0,4854,1117,61,0,1,0,65,1,0,0
1,0,1,1,0,0,4955,1086,317,0,13,1,266,2,4,3
0,0,0,0,0,0,4914,1091,76,0,1,0,78,1,2,2
0,0,0,0,0,0,4862,1109,269,0,6,0,279,4,4,0
0,0,0,0,0,0,4886,1083,33,0,2,0,24,0,1,1
0,0,0,0,0,0,4889,1088,101,0,2,0,88,1,0,1
0,0,0,0,0,0,4881,1108,49,0,1,0,42,1,1,0
0,0,0,0,0,0,4900,1089,27,0,1,0,24,1,1,0
0,0,0,0,0,0,4959,1087,239,0,4,3,349,2,3,0
0,0,0,0,0,0,4861,1089,267,0,4,11,259,3,2,3
0,0,0,0,0,0,4833,1119,25,0,1,0,23,1,1,1
0,0,0,0,0,0,4907,1096,110,0,0,2,120,1,1,1
0,0,0,0,0,0,4831,1119,22,0,1,0,11,1,0,0
0,0,0,0,0,0,4954,1110,12,0,0,0,8,0,0,0
1,0,1,1,1,0,4957,1108,354,0,5,2,369,2,5,1
0,0,0,0,0,0,4874,1106,109,0,3,2,122,2,0,1
0,0,0,0,0,0,4979,1082,2,0,0,0,3,0,0,0
1,0,1,1,0,0,4843,1098,229,0,9,3,280,4,5,3
