vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
0,0,0,0,0,0,4331,1657,102,0,4,0,54,0,0,1
0,0,0,0,0,0,4300,1681,21,0,0,0,17,0,0,0
0,0,0,0,0,0,4394,1634,145,0,11,0,137,0,0,1
0,0,0,0,0,0,4320,1672,74,0,2,1,48,2,1,0
0,0,0,0,0,0,4268,1689,22,0,2,1,21,0,0,0
0,0,0,0,0,0,4337,1667,78,0,3,2,99,1,0,0
0,0,0,0,0,0,4366,1670,12,0,2,0,8,0,0,0
0,0,0,0,0,0,4287,1660,110,0,4,3,141,0,3,1
0,0,0,0,0,0,4329,1674,13,0,1,2,15,0,0,0
0,0,0,0,0,0,4330,1667,279,0,7,1,270,3,2,2
0,0,0,0,0,0,4327,1672,154,0,3,3,139,1,2,3
0,0,0,0,0,0,4290,1691,130,0,3,1,106,2,3,0
0,0,0,0,0,0,4291,1695,89,0,4,2,70,2,1,2
0,0,0,0,0,0,4318,1662,88,0,8,1,114,1,2,2
2,0,2,2,1,0,4297,1650,309,0,8,3,387,6,6,3
0,0,0,0,0,0,4328,1684,81,0,2,2,97,0,0,0
0,0,0,0,0,0,4326,1667,6,0,1,0,1,0,0,0
0,0,0,0,0,0,4325,1653,302,0,5,3,339,2,7,0
0,0,0,0,0,0,4304,1676,182,0,3,0,204,1,8,2
0,0,0,0,0,0,4317,1687,59,0,2,1,40,0,1,0
0,0,0,0,0,0,4310,1664,52,0,2,0,29,1,2,0
0,0,0,0,0,0,4315,1641,128,0,3,2,117,1,1,0
0,0,0,0,0,0,4401,1645,177,0,6,5,164,4,1,0
0,0,0,0,0,0,4377,1645,292,0,4,2,286,2,4,2
1,0,1,1,0,0,4311,1690,103,0,3,4,101,2,3,0
0,0,0,0,0,0,4323,1661,13,0,2,1,11,0,1,0
0,0,0,0,0,0,4338,1649,3,0,0,0,1,0,0,0
0,0,0,0,0,0,4265,1664,103,0,2,1,122,2,1,1
1,0,1,1,0,1,4331,1655,294,0,4,2,303,2,11,1
0,0,0,0,0,0,4269,1690,71,0,2,1,98,1,1,0
0,0,0,0,0,0,4327,1694,30,0,0,1,13,1,1,0
0,0,0,0,0,0,4350,1702,145,0,4,2,181,1,2,2
1,0,1,1,0,0,4320,1660,266,0,9,4,237,2,6,3
0,0,0,0,0,0,4287,1673,11,0,2,2,8,0,0,0
0,0,0,0,0,0,4312,1669,80,0,1,0,75,0,0,0
0,0,0,0,0,0,4344,1702,283,0,6,3,301,7,5,1
1,0,1,1,0,0,4272,1699,108,0,5,2,101,1,1,1
1,0,1,1,0,0,4399,1649,275,0,6,3,296,1,4,3
0,0,0,0,0,0,4387,1620,68,0,4,0,55,2,2,1
1,0,1,1,0,0,4322,1651,84,0,2,2,79,2,1,1
0,0,0,0,0,0,4397,1654,40,0,2,2,21,0,1,1
0,0,0,0,0,0,4359,1666,129,0,6,2,91,2,0,0
0,0,0,0,0,0,4314,1644,185,0,9,5,126,2,1,2
1,0,1,1,0,0,4268,1666,109,0,2,1,137,0,2,1
0,0,0,0,0,0,4316,1703,42,0,1,0,26,0,1,0
1,0,1,1,0,1,4357,1641,266,0,11,3,234,3,4,4
0,0,0,0,0,0,4279,1662,400,0,9,4,444,7,4,5
0,0,0,0,0,0,4382,1692,7,0,1,0,1,0,0,0
1,0,1,1,0,0,4336,1677,134,0,7,2,163,1,2,0
0,0,0,0,0,0,4333,1667,14,0,0,0,12,0,0,0
0,0,0,0,0,0,4305,1668,185,0,8,2,177,3,2,4
0,0,0,0,0,0,4348,1678,52,0,2,1,57,0,0,0
0,0,0,0,0,0,4313,1686,33,0,0,2,7,0,1,0
1,0,1,1,0,0,4368,1661,247,0,3,1,262,2,6,2
1,0,1,1,0,0,4365,1633,77,0,4,3,59,3,0,0
1,0,1,1,0,0,4328,1672,282,0,11,1,301,6,9,0
1,0,1,1,0,1,4287,1686,190,0,7,3,212,3,5,3
0,0,0,0,0,0,4321,1650,89,0,2,2,83,0,0,0
0,0,0,0,0,0,4389,1655,66,0,2,1,67,0,2,1
0,0,0,0,0,0,4322,1680,245,0,6,3,250,3,6,3
0,0,0,0,0,0,4307,1668,36,0,2,0,18,0,0,0
0,0,0,0,0,0,4325,1643,218,0,5,2,233,2,3,4
0,0,0,0,0,0,4304,1672,219,0,2,3,264,2,5,1
0,0,0,0,0,0,4350,1637,196,0,5,4,186,5,5,3
0,0,0,0,0,0,4326,1662,91,0,4,1,82,2,2,1
0,0,0,0,0,0,4369,1674,169,0,6,5,235,4,3,2
0,0,0,0,0,0,4289,1664,7,0,0,0,3,0,0,0
0,0,0,0,0,0,4289,1663,91,0,3,1,70,0,2,2
0,0,0,0,0,0,4335,1668,179,0,5,2,181,1,4,1
0,0,0,0,0,0,4322,1628,54,0,3,1,56,0,1,0
0,0,0,0,0,0,4366,1698,91,0,3,0,94,0,2,0
0,0,0,0,0,0,4416,1651,107,0,2,1,73,1,1,1
0,0,0,0,0,0,4305,1678,1,0,0,0,2,0,0,0
0,0,0,0,0,0,4404,1654,85,0,2,0,69,3,3,1
0,0,0,0,0,0,4293,1652,14,0,3,3,13,0,0,0
0,0,0,0,0,0,4358,1656,42,0,0,0,38,0,0,0
0,0,0,0,0,0,4367,1663,18,0,1,2,24,3,1,0
2,0,2,2,1,0,4370,1653,339,0,6,4,237,3,2,4
2,0,2,2,1,0,4293,1701,447,0,12,2,449,8,6,4
0,0,0,0,0,0,4304,1667,21,0,0,0,10,2,0,0
0,0,0,0,0,0,4325,1677,269,0,2,3,288,3,4,4
0,0,0,0,0,0,4257,1671,4,0,0,0,3,0,0,0
0,0,0,0,0,0,4312,1662,5,0,2,0,4,0,0,0
0,0,0,0,0,0,4326,1666,163,0,5,3,121,4,2,1
2,0,2,2,0,0,4304,1665,205,0,5,1,137,4,4,0
0,0,0,0,0,0,4325,1650,69,0,1,6,57,3,0,0
