vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
0,0,0,0,0,0,5456,532,13,0,0,1,8,1,0,0
0,0,0,0,0,0,5434,546,111,0,2,0,145,2,0,2
0,0,0,0,0,0,5489,539,0,0,1,0,1,0,0,0
1,0,1,1,0,0,5468,525,106,0,3,1,100,0,1,1
0,0,0,0,0,0,5419,538,6,0,0,0,4,0,0,0
0,0,0,0,0,0,5472,533,24,0,0,0,11,0,0,1
1,0,1,1,1,0,5502,532,200,0,0,0,241,1,3,0
0,0,0,0,0,0,5439,507,67,0,1,1,76,1,4,0
0,0,0,0,0,0,5454,549,21,0,1,0,23,0,1,0
0,0,0,0,0,0,5465,534,78,0,2,1,52,0,1,0
0,0,0,0,0,0,5465,534,15,0,0,1,8,1,0,0
0,0,0,0,0,0,5453,529,67,0,2,0,73,1,0,0
0,0,0,0,0,0,5473,513,3,0,0,0,3,0,1,0
1,0,1,1,0,0,5463,517,175,0,2,2,258,0,3,4
0,0,0,0,0,0,5410,544,44,0,1,1,27,1,0,1
0,0,0,0,0,0,5474,538,11,0,2,0,8,0,0,0
0,0,0,0,0,0,5452,541,139,0,5,0,245,0,2,0
0,0,0,0,0,0,5439,541,21,0,0,1,7,0,0,0
0,0,0,0,0,0,5451,530,7,0,0,0,5,0,0,0
0,0,0,0,0,0,5461,541,150,0,6,2,132,1,1,0
0,0,0,0,0,0,5425,550,4,0,0,0,0,0,1,1
0,0,0,0,0,0,5441,516,229,0,3,0,277,0,0,1
0,0,0,0,0,0,5517,532,17,0,0,1,12,0,0,0
0,0,0,0,0,0,5490,533,10,0,1,0,9,0,0,1
0,0,0,0,0,0,5452,551,8,0,1,0,4,0,0,0
0,0,0,0,0,0,5451,532,40,0,0,0,33,1,0,0
0,0,0,0,0,0,5447,540,1,0,0,0,0,0,0,0
0,0,0,0,0,0,5408,524,188,0,2,0,173,0,2,0
0,0,0,0,0,0,5449,539,108,0,4,2,83,1,1,1
0,0,0,0,0,0,5435,523,69,0,3,1,61,1,4,0
0,0,0,0,0,0,5502,520,447,0,10,1,460,2,5,2
0,0,0,0,0,0,5508,544,16,0,0,0,6,0,0,0
0,0,0,0,0,0,5452,531,37,0,0,0,20,0,0,0
0,0,0,0,0,0,5425,536,75,0,1,0,100,0,0,0
2,0,2,2,1,0,5450,528,277,0,3,1,318,1,3,1
2,0,2,2,0,0,5492,558,250,0,5,0,285,1,3,2
0,0,0,0,0,0,5439,534,3,0,0,0,0,0,0,0
0,0,0,0,0,0,5493,557,1,0,0,1,3,0,0,0
0,0,0,0,0,0,5488,520,252,0,3,0,302,0,9,1
0,0,0,0,0,0,5439,535,344,0,9,1,421,1,6,1
0,0,0,0,0,0,5500,549,139,0,3,0,100,1,0,1
0,0,0,0,0,0,5504,523,100,0,4,0,71,0,2,0
0,0,0,0,0,0,5414,545,15,0,0,1,11,1,0,1
0,0,0,0,0,0,5394,542,22,0,0,0,36,0,0,0
0,0,0,0,0,0,5471,549,7,0,1,0,9,0,0,1
0,0,0,0,0,0,5472,529,13,0,1,1,5,0,0,0
0,0,0,0,0,0,5412,533,251,0,1,0,271,0,0,1
0,0,0,0,0,0,5562,512,38,0,1,2,47,0,1,1
1,0,1,1,0,0,5469,543,183,0,3,0,266,1,4,0
1,0,1,1,0,0,5463,536,300,0,3,3,382,1,4,1
0,0,0,0,0,0,5422,554,31,0,0,1,50,0,0,2
0,0,0,0,0,0,5490,535,1,0,0,0,0,0,0,0
0,0,0,0,0,0,5442,558,436,0,6,6,458,0,5,5
1,0,1,1,1,0,5490,539,184,0,3,0,272,2,5,0
0,0,0,0,0,0,5451,550,32,0,0,0,19,0,0,0
2,0,2,2,0,0,5462,541,406,0,5,3,475,1,6,3
0,0,0,0,0,0,5432,545,535,0,11,3,517,0,10,3
0,0,0,0,0,0,5423,548,348,0,6,1,385,2,6,2
0,0,0,0,0,0,5517,526,19,0,0,1,9,0,0,1
1,0,1,1,0,0,5464,540,374,0,6,2,381,1,7,1
0,0,0,0,0,0,5450,523,88,0,1,1,128,2,0,0
0,0,0,0,0,0,5423,546,3,0,0,0,0,0,0,0
1,0,1,1,0,0,5442,533,25,0,0,0,18,1,0,0
0,0,0,0,0,0,5466,523,15,0,2,0,7,1,0,0
0,0,0,0,0,0,5450,537,98,0,2,0,100,3,2,0
0,0,0,0,0,0,5514,533,142,0,1,0,163,0,0,0
2,0,2,2,2,0,5415,536,210,0,3,1,326,0,2,2
0,0,0,0,0,0,5401,549,65,0,0,2,61,2,3,0
0,0,0,0,0,0,5474,530,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5411,539,6,0,0,0,3,0,0,0
0,0,0,0,0,0,5526,537,13,0,1,0,5,0,0,0
0,0,0,0,0,0,5519,548,90,0,0,2,86,1,1,0
0,0,0,0,0,0,5446,536,11,0,0,0,9,0,1,0
0,0,0,0,0,0,5525,536,34,0,1,0,37,0,0,0
1,0,1,1,0,1,5405,539,414,0,6,4,394,1,3,4
0,0,0,0,0,0,5472,542,2,0,0,0,0,0,0,0
0,0,0,0,0,0,5504,528,249,0,1,1,344,0,2,0
3,0,3,3,1,0,5482,541,262,0,7,3,324,1,4,0
1,0,1,1,0,0,5475,528,66,0,0,0,62,0,0,1
0,0,0,0,0,0,5443,530,51,0,0,0,49,0,1,1
0,0,0,0,0,0,5457,548,26,0,0,0,20,0,0,0
0,0,0,0,0,0,5389,539,72,0,1,1,62,1,0,0
0,0,0,0,0,0,5424,550,1,0,0,0,0,0,1,0
1,0,1,1,0,0,5454,540,197,0,2,2,195,1,4,1
