vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
0,0,0,0,0,0,4331,1657,317,0,2,2,325,0,3,1
0,0,0,0,0,0,4300,1681,26,0,0,1,19,0,0,0
0,0,0,0,0,0,4392,1634,113,0,7,0,77,2,2,0
1,0,1,1,0,1,4320,1672,69,0,3,2,50,1,0,0
0,0,0,0,0,0,4268,1689,48,0,4,3,42,0,0,0
0,0,0,0,0,0,4336,1667,20,0,1,2,20,2,0,0
0,0,0,0,0,0,4366,1670,12,0,2,0,8,0,0,0
0,0,0,0,0,0,4286,1660,115,0,3,0,122,1,1,1
0,0,0,0,0,0,4329,1674,13,0,1,2,15,0,0,0
3,0,3,3,2,0,4329,1667,193,0,6,2,144,1,4,0
0,0,0,0,0,0,4328,1672,111,0,5,3,108,0,4,2
0,0,0,0,0,0,4291,1691,116,0,1,0,93,1,2,1
0,0,0,0,0,0,4291,1695,94,0,1,1,77,1,1,0
0,0,0,0,0,0,4319,1662,22,0,2,1,9,0,1,1
0,0,0,0,0,0,4304,1650,96,0,3,0,108,1,2,0
0,0,0,0,0,0,4328,1684,79,0,4,1,66,0,0,0
0,0,0,0,0,0,4326,1667,6,0,1,0,1,0,0,0
0,0,0,0,0,0,4327,1653,152,0,2,3,200,0,0,0
0,0,0,0,0,0,4305,1676,89,0,2,0,71,0,4,0
1,0,1,1,0,1,4315,1687,126,0,4,2,91,1,2,1
1,0,1,1,0,0,4309,1664,119,0,1,1,142,1,3,0
1,0,1,1,1,0,4313,1641,111,0,4,1,137,2,0,1
2,0,2,2,0,0,4401,1645,209,0,5,2,239,2,1,1
2,0,2,2,0,0,4375,1645,246,0,7,2,250,1,3,2
0,0,0,0,0,0,4313,1690,224,0,6,1,245,0,4,1
0,0,0,0,0,0,4323,1661,14,0,2,1,20,0,0,0
0,0,0,0,0,0,4338,1649,3,0,0,0,1,0,0,0
0,0,0,0,0,0,4266,1664,25,0,1,0,12,1,0,0
1,0,1,1,0,0,4332,1655,217,0,4,3,254,1,6,2
0,0,0,0,0,0,4269,1690,90,0,3,1,122,1,2,0
7,0,7,7,1,2,4317,1694,324,0,12,3,349,4,4,1
2,0,2,2,1,0,4348,1702,206,0,5,1,210,1,3,2
0,0,0,0,0,0,4322,1660,281,0,11,2,237,1,5,2
0,0,0,0,0,0,4287,1673,11,0,2,2,8,0,0,0
0,0,0,0,0,0,4312,1669,98,0,1,2,106,0,0,0
2,0,2,2,0,0,4347,1702,277,0,7,3,205,2,4,4
0,0,0,0,0,0,4274,1699,87,0,4,4,56,0,0,0
0,0,0,0,0,0,4401,1649,35,0,1,0,19,0,0,0
1,0,1,1,0,0,4387,1620,188,0,7,0,223,2,2,3
0,0,0,0,0,0,4325,1651,44,0,0,0,52,0,0,0
2,0,2,2,0,0,4395,1654,232,0,10,3,156,0,3,1
1,0,1,1,1,0,4359,1666,88,0,5,4,78,1,1,0
0,0,0,0,0,0,4315,1644,268,0,5,3,221,1,2,3
1,0,1,1,0,0,4267,1666,185,0,3,2,190,1,2,1
0,0,0,0,0,0,4316,1703,189,0,3,0,292,1,7,0
5,0,5,5,0,1,4352,1641,356,0,8,2,371,4,5,3
1,0,1,1,0,0,4282,1662,402,0,12,4,344,1,2,1
0,0,0,0,0,0,4382,1692,7,0,1,0,0,0,0,0
1,0,1,1,1,0,4337,1677,86,0,2,0,65,0,1,2
0,0,0,0,0,0,4333,1667,69,0,1,0,48,0,0,0
0,0,0,0,0,0,4305,1668,53,0,5,1,42,3,2,3
0,0,0,0,0,0,4348,1678,129,0,4,4,147,0,2,0
0,0,0,0,0,0,4313,1686,33,0,0,2,7,0,1,0
0,0,0,0,0,0,4371,1661,117,0,3,0,89,0,0,2
0,0,0,0,0,0,4368,1633,103,0,5,0,85,0,1,0
1,0,1,1,1,0,4330,1672,156,0,10,0,146,4,3,1
0,0,0,0,0,0,4289,1686,63,0,5,2,29,2,0,0
1,0,1,1,0,0,4319,1650,265,1,13,3,274,1,3,1
1,0,1,1,0,0,4387,1655,219,0,4,1,220,1,5,1
4,0,4,4,1,1,4318,1680,414,0,8,3,333,3,5,2
0,0,0,0,0,0,4307,1668,68,0,3,0,52,0,0,0
2,0,2,2,1,0,4323,1643,145,0,3,3,100,3,3,1
0,0,0,0,0,0,4304,1672,108,0,1,1,161,2,4,1
1,0,1,1,0,0,4349,1637,347,0,4,3,327,4,5,1
0,0,0,0,0,0,4324,1662,258,0,6,3,246,4,7,2
0,0,0,0,0,0,4373,1674,66,0,3,1,72,0,2,0
0,0,0,0,0,0,4289,1664,24,0,1,0,11,0,0,0
2,0,2,2,1,0,4287,1663,151,0,4,1,179,0,3,3
1,0,1,1,1,0,4335,1668,18,0,0,0,5,0,0,1
1,0,1,1,1,0,4321,1628,135,0,1,2,164,0,3,1
2,0,2,2,1,0,4360,1698,335,0,11,6,324,5,4,0
0,0,0,0,0,0,4416,1651,40,0,3,1,29,1,0,0
0,0,0,0,0,0,4305,1678,136,0,4,1,160,0,2,0
0,0,0,0,0,0,4406,1654,38,0,2,1,38,1,1,0
1,0,1,1,0,0,4291,1652,155,0,5,4,119,1,1,0
0,0,0,0,0,0,4358,1656,45,0,1,2,50,0,0,0
0,0,0,0,0,0,4370,1663,46,0,0,2,45,0,0,0
0,0,0,0,0,0,4373,1653,206,0,7,0,173,2,2,2
2,0,2,2,0,0,4300,1701,207,0,4,3,177,1,4,1
0,0,0,0,0,0,4304,1667,21,0,0,0,10,2,0,0
0,0,0,0,0,0,4328,1677,214,0,2,1,255,1,6,4
0,0,0,0,0,0,4257,1671,4,0,0,0,3,0,0,0
0,0,0,0,0,0,4312,1662,5,0,2,0,4,0,0,0
0,0,0,0,0,0,4330,1666,117,0,2,3,109,0,1,1
2,0,2,2,0,0,4303,1665,329,0,5,5,297,4,3,2
1,0,1,1,1,0,4326,1650,285,0,7,4,282,0,6,2
0,0,0,0,0,0,4281,1658,104,0,7,1,129,2,5,1
1,0,1,1,1,0,4352,1643,123,0,1,0,182,1,2,0
1,0,1,1,0,0,4351,1654,201,0,5,0,226,1,1,0
1,0,1,1,0,0,4374,1643,281,0,5,3,271,0,1,2
0,0,0,0,0,0,4300,1707,142,0,3,2,130,1,3,1
0,0,0,0,0,0,4332,1635,60,0,1,0,62,0,1,1
0,0,0,0,0,0,4300,1704,107,0,2,2,109,1,2,1
0,0,0,0,0,0,4330,1672,74,0,4,1,50,3,0,1
2,0,2,2,0,0,4358,1668,39,0,2,0,33,2,1,0
3,0,3,3,1,1,4316,1655,102,0,2,0,131,2,2,2
0,0,0,0,0,0,4351,1646,25,0,2,0,15,0,0,0
0,0,0,0,0,0,4304,1660,39,0,4,0,33,0,0,0
0,0,0,0,0,0,4358,1659,91,0,3,2,102,2,0,0
0,0,0,0,0,0,4367,1664,7,0,0,0,3,0,0,0
1,0,1,1,0,0,4356,1676,216,0,8,1,195,3,7,1
0,0,0,0,0,0,4339,1669,23,0,0,1,34,0,0,0
0,0,0,0,0,0,4349,1683,91,0,4,2,63,3,0,0
5,0,5,5,0,0,4375,1680,295,0,6,5,270,1,4,2
0,0,0,0,0,0,4297,1669,188,0,3,4,215,3,1,3
1,0,1,1,0,0,4328,1640,191,0,7,4,155,2,1,4
0,0,0,0,0,0,4328,1701,84,0,0,1,96,0,2,0
0,0,0,0,0,0,4348,1673,19,0,2,0,8,0,1,0
0,0,0,0,0,0,4277,1679,28,0,2,1,16,0,0,0
0,0,0,0,0,0,4266,1665,89,0,2,1,76,1,0,1
0,0,0,0,0,0,4365,1668,80,0,4,0,64,2,1,0
2,0,2,2,1,0,4263,1677,220,0,7,3,235,1,3,2
0,0,0,0,0,0,4384,1689,240,0,6,3,252,3,2,4
0,0,0,0,0,0,4341,1649,296,0,2,3,296,1,3,1
1,0,1,1,1,0,4296,1712,231,0,9,1,206,0,2,3
0,0,0,0,0,0,4395,1647,124,0,6,2,114,2,3,0
0,0,0,0,0,0,4344,1644,188,0,3,3,216,0,3,0
0,0,0,0,0,0,4257,1683,179,0,5,1,170,1,1,0
1,0,1,1,0,0,4357,1648,350,0,7,3,310,1,2,1
0,0,0,0,0,0,4359,1664,311,0,4,0,370,5,5,1
0,0,0,0,0,0,4318,1657,280,0,4,4,308,4,5,1
2,0,2,2,0,0,4313,1662,337,0,5,3,275,3,0,0
0,0,0,0,0,0,4342,1664,43,0,2,1,33,1,0,0
0,0,0,0,0,0,4369,1653,73,0,2,3,57,1,3,0
0,0,0,0,0,0,4384,1655,60,0,2,1,78,0,2,0
1,0,1,1,0,0,4386,1678,71,0,1,2,40,0,0,0
0,0,0,0,0,0,4395,1658,77,0,2,1,48,0,0,0
