vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
0,0,0,0,0,0,5456,532,13,0,0,1,8,1,0,0
1,0,1,1,0,0,5432,546,142,0,1,3,90,2,1,6
0,0,0,0,0,0,5489,539,0,0,1,0,1,0,0,0
1,0,1,1,0,0,5464,525,454,0,14,5,483,4,5,4
0,0,0,0,0,0,5419,538,6,0,0,0,4,0,0,0
0,0,0,0,0,0,5472,533,24,0,0,0,11,0,0,1
0,0,0,0,0,0,5504,532,189,0,5,2,175,0,1,0
0,0,0,0,0,0,5438,507,44,0,1,0,32,2,1,0
0,0,0,0,0,0,5454,549,42,0,1,1,50,0,1,1
0,0,0,0,0,0,5464,534,130,0,4,1,106,1,1,0
0,0,0,0,0,0,5465,534,15,0,0,1,8,1,0,0
0,0,0,0,0,0,5452,529,40,0,1,0,41,2,1,0
0,0,0,0,0,0,5473,513,3,0,0,0,3,0,1,0
0,0,0,0,0,0,5463,517,130,0,2,0,147,1,2,2
2,0,2,2,0,0,5408,544,118,0,2,1,135,3,3,1
0,0,0,0,0,0,5474,538,11,0,2,0,8,0,0,0
0,0,0,0,0,0,5452,541,39,0,3,0,29,0,1,0
0,0,0,0,0,0,5439,541,20,0,0,1,8,0,0,0
0,0,0,0,0,0,5451,530,7,0,0,0,5,0,0,0
3,0,3,3,0,0,5456,541,548,0,8,4,555,3,3,4
0,0,0,0,0,0,5425,550,4,0,0,0,0,0,1,1
0,0,0,0,0,0,5441,516,22,0,1,0,33,0,0,0
1,0,1,1,1,0,5514,532,406,1,4,4,426,4,2,0
0,0,0,0,0,0,5490,533,10,0,1,0,9,0,0,1
0,0,0,0,0,0,5452,551,8,0,1,0,4,0,0,0
0,0,0,0,0,0,5451,532,69,0,0,1,59,0,0,0
0,0,0,0,0,0,5447,540,1,0,0,0,0,0,0,0
4,0,4,4,0,0,5403,524,375,1,5,1,387,2,7,2
2,0,2,2,0,0,5445,539,487,0,10,3,515,4,6,3
0,0,0,0,0,0,5435,523,76,0,2,2,73,1,3,0
0,0,0,0,0,0,5501,520,248,0,6,2,285,1,2,0
0,0,0,0,0,0,5508,544,28,0,1,0,14,0,0,0
2,0,2,2,0,0,5450,531,390,0,7,4,338,0,3,1
1,0,1,1,0,0,5424,536,170,0,1,3,197,1,0,0
4,0,4,4,0,1,5449,528,137,0,6,1,126,0,1,1
2,0,2,2,1,0,5491,558,192,0,5,2,204,3,3,1
0,0,0,0,0,0,5439,534,3,0,0,0,0,0,0,0
0,0,0,0,0,0,5493,557,1,0,0,1,3,0,0,0
0,0,0,0,0,0,5487,520,260,0,5,2,278,1,3,3
1,0,1,1,0,0,5439,535,233,0,6,2,283,0,7,0
0,0,0,0,0,0,5499,549,335,0,7,3,340,2,4,2
0,0,0,0,0,0,5504,523,29,0,1,0,25,0,1,0
1,0,1,1,0,1,5413,545,18,0,0,1,13,1,0,1
0,0,0,0,0,0,5394,542,94,0,5,1,136,0,0,0
0,0,0,0,0,0,5471,549,7,0,1,0,9,0,0,1
2,0,2,2,0,1,5469,529,369,0,7,1,476,1,8,1
1,0,1,1,1,0,5410,533,464,0,8,8,500,2,6,4
0,0,0,0,0,0,5562,512,54,0,1,2,45,0,1,1
0,0,0,0,0,0,5469,543,83,0,4,1,47,2,1,0
0,0,0,0,0,0,5464,536,17,0,1,1,22,0,0,0
2,0,2,2,0,1,5420,554,292,0,10,1,337,0,5,3
0,0,0,0,0,0,5490,535,1,0,0,0,0,0,0,0
0,0,0,0,0,0,5440,558,146,0,3,2,114,2,4,0
0,0,0,0,0,0,5492,539,28,0,2,0,26,1,1,0
0,0,0,0,0,0,5451,550,32,0,1,0,24,0,0,0
4,0,4,4,0,1,5460,541,445,0,11,4,498,2,5,5
1,0,1,1,0,0,5430,545,515,0,7,5,497,3,7,1
0,0,0,0,0,0,5422,548,34,0,3,2,33,2,1,2
0,0,0,0,0,0,5517,526,77,0,2,1,65,0,0,1
9,0,9,9,4,0,5456,540,641,0,13,3,661,1,5,5
0,0,0,0,0,0,5450,523,61,0,0,1,97,2,1,0
0,0,0,0,0,0,5423,546,3,0,0,0,0,0,0,0
0,0,0,0,0,0,5443,533,183,0,2,2,169,1,2,0
0,0,0,0,0,0,5466,523,21,0,2,0,6,1,1,0
2,0,2,2,0,0,5447,537,805,0,19,8,781,4,6,6
1,0,1,1,0,0,5513,533,219,0,4,0,262,0,5,0
4,0,4,4,1,0,5412,536,547,0,13,4,657,2,15,0
2,0,2,2,0,0,5398,549,434,0,11,7,502,4,7,5
0,0,0,0,0,0,5474,530,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5411,539,6,0,0,0,3,0,0,0
0,0,0,0,0,0,5526,537,63,0,4,0,77,0,0,1
0,0,0,0,0,0,5519,548,53,0,1,2,28,1,1,0
4,0,4,4,1,0,5442,536,430,0,3,2,430,0,5,2
2,0,2,2,1,1,5523,536,301,0,5,3,302,0,3,3
2,0,2,2,0,0,5403,539,424,0,4,6,477,1,1,3
0,0,0,0,0,0,5472,542,2,0,0,0,0,0,0,0
1,0,1,1,1,0,5503,528,272,0,2,1,221,3,3,0
1,0,1,1,0,0,5482,541,344,0,6,5,322,3,4,4
0,0,0,0,0,0,5476,528,20,0,0,0,10,0,0,1
0,0,0,0,0,0,5443,530,295,0,4,1,413,0,3,2
0,0,0,0,0,0,5457,548,23,0,0,0,20,0,0,0
0,0,0,0,0,0,5389,539,241,0,7,1,293,1,3,0
0,0,0,0,0,0,5423,550,17,0,0,1,14,1,1,0
0,0,0,0,0,0,5454,540,289,0,5,2,224,2,6,1
0,0,0,0,0,0,5443,531,41,0,1,0,24,1,2,0
4,0,4,4,0,2,5442,528,362,0,9,7,356,4,6,2
0,0,0,0,0,0,5418,523,21,0,1,0,7,0,1,0
0,0,0,0,0,0,5452,545,17,0,2,0,13,0,0,0
3,0,3,3,0,0,5463,536,574,0,10,5,603,5,5,3
0,0,0,0,0,0,5482,535,140,0,1,2,122,1,1,0
0,0,0,0,0,0,5469,539,7,0,0,1,7,0,0,0
2,0,2,2,1,0,5418,547,348,0,5,2,384,0,3,1
1,0,1,1,0,0,5452,552,148,0,4,4,128,0,1,1
3,0,3,3,0,0,5467,528,586,0,13,4,602,8,8,1
4,0,4,4,1,0,5488,536,588,0,14,5,568,3,8,3
0,0,0,0,0,0,5439,536,16,0,1,0,4,0,0,0
2,0,2,2,1,0,5456,538,639,0,13,5,672,1,7,4
0,0,0,0,0,0,5423,541,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5489,528,27,0,0,0,21,0,0,1
0,0,0,0,0,0,5485,546,6,0,0,0,8,0,1,0
0,0,0,0,0,0,5494,540,6,0,1,0,5,1,1,0
0,0,0,0,0,0,5479,530,2,0,0,0,1,0,1,0
0,0,0,0,0,0,5489,542,314,0,7,4,390,4,7,1
0,0,0,0,0,0,5529,532,41,0,0,1,34,0,1,0
0,0,0,0,0,0,5450,519,19,0,1,0,5,0,0,0
2,0,2,2,1,0,5457,511,653,0,8,4,728,1,7,5
0,0,0,0,0,0,5515,512,2,0,0,0,6,1,1,0
0,0,0,0,0,0,5492,529,39,0,4,0,30,0,1,0
0,0,0,0,0,0,5419,538,72,0,3,1,86,0,0,0
0,0,0,0,0,0,5375,555,1,0,1,0,0,0,0,0
0,0,0,0,0,0,5521,514,133,0,2,0,141,0,1,0
6,0,6,6,4,0,5402,533,673,0,11,7,718,2,8,0
0,0,0,0,0,0,5531,542,182,0,1,1,169,1,2,2
0,0,0,0,0,0,5458,532,206,0,2,3,177,1,1,2
2,0,2,2,1,0,5455,551,251,0,3,3,258,1,5,0
2,0,2,2,1,0,5494,544,157,0,5,1,133,3,1,1
0,0,0,0,0,0,5441,546,337,0,4,3,304,2,3,4
0,0,0,0,0,0,5399,541,6,0,1,0,2,0,0,0
0,0,0,0,0,0,5477,529,7,0,0,0,7,0,0,0
0,0,0,0,0,0,5474,549,0,0,0,0,1,1,1,0
0,0,0,0,0,0,5453,525,38,0,0,0,23,0,0,0
2,0,2,2,0,0,5447,531,381,0,6,5,335,1,1,4
0,0,0,0,0,0,5448,560,4,0,0,0,2,0,0,0
0,0,0,0,0,0,5478,545,4,0,0,0,2,0,0,0
1,0,1,1,0,0,5482,556,109,0,3,0,106,0,2,3
2,0,2,2,0,0,5530,531,666,0,16,6,725,4,5,4
2,0,2,2,0,0,5526,525,109,0,2,2,97,0,1,1
0,0,0,0,0,0,5435,541,8,0,0,0,7,0,0,0
0,0,0,0,0,0,5492,533,6,0,1,0,2,0,0,0
1,0,1,1,0,0,5511,532,391,0,5,3,414,2,6,3
0,0,0,0,0,0,5502,539,17,0,2,1,6,0,0,0
2,0,2,2,0,0,5394,531,637,0,8,6,581,2,8,3
0,0,0,0,0,0,5457,544,1,0,0,1,0,0,0,0
2,0,2,2,0,0,5433,532,481,0,3,5,482,4,9,4
1,0,1,1,0,0,5470,535,376,0,6,3,355,1,4,4
3,0,3,3,0,1,5468,548,622,0,9,5,661,5,4,3
0,0,0,0,0,0,5534,516,1,0,0,0,0,0,0,0
1,0,1,1,0,0,5451,551,24,0,0,0,18,0,0,0
0,0,0,0,0,0,5451,539,547,1,12,6,525,3,9,4
1,0,1,1,0,0,5501,537,604,0,15,3,581,3,4,8
3,0,3,3,0,1,5457,564,439,0,13,3,409,2,2,1
0,0,0,0,0,0,5427,541,136,0,5,2,104,0,0,0
2,0,2,2,0,0,5488,536,764,0,16,1,786,5,14,5
0,0,0,0,0,0,5487,530,10,0,0,0,7,0,0,0
2,0,2,2,1,0,5452,527,272,1,6,0,319,1,0,2
0,0,0,0,0,0,5498,552,507,0,9,4,483,1,9,3
0,0,0,0,0,0,5491,548,113,0,2,2,68,2,5,0
0,0,0,0,0,0,5444,549,117,0,2,0,91,0,1,1
0,0,0,0,0,0,5423,522,79,0,1,1,49,1,1,0
0,0,0,0,0,0,5437,527,63,0,2,1,51,3,0,2
0,0,0,0,0,0,5458,538,258,1,1,5,254,4,6,0
0,0,0,0,0,0,5513,560,19,0,0,0,23,0,0,0
0,0,0,0,0,0,5467,546,0,0,0,0,1,0,0,0
0,0,0,0,0,0,5495,536,12,0,2,2,3,0,1,0
5,0,5,5,2,0,5443,537,659,0,11,4,601,3,6,8
0,0,0,0,0,0,5399,547,23,0,0,0,12,0,1,0
2,0,2,2,0,0,5499,530,319,0,6,3,323,1,0,0
1,0,1,1,0,0,5470,529,28,0,1,1,34,0,1,0
1,0,1,1,0,0,5455,530,234,0,7,2,311,3,3,0
0,0,0,0,0,0,5386,544,13,0,0,2,3,0,0,0
1,0,1,1,1,0,5446,534,377,0,7,8,407,1,2,2
0,0,0,0,0,0,5456,524,8,0,0,0,7,0,0,0
0,0,0,0,0,0,5557,534,2,0,1,0,1,0,0,0
0,0,0,0,0,0,5473,538,2,0,0,0,3,0,0,0
0,0,0,0,0,0,5418,540,11,0,1,0,4,1,1,0
1,0,1,1,0,0,5468,534,176,0,5,2,220,0,3,0
0,0,0,0,0,0,5470,510,38,0,3,1,23,0,0,0
0,0,0,0,0,0,5431,552,1,0,1,0,1,0,0,0
4,0,4,4,1,1,5429,549,686,0,14,1,729,7,9,6
0,0,0,0,0,0,5504,542,251,0,4,1,257,3,1,2
0,0,0,0,0,0,5485,528,9,0,0,0,9,0,0,0
0,0,0,0,0,0,5479,545,6,0,1,0,5,0,0,0
2,0,2,2,1,0,5479,523,220,0,3,2,255,0,1,0
1,0,1,1,0,0,5437,535,144,0,3,3,131,0,1,1
1,0,1,1,0,1,5443,536,394,0,6,2,444,3,7,2
0,0,0,0,0,0,5479,520,17,0,0,0,4,0,0,1
0,0,0,0,0,0,5458,531,47,0,3,2,28,2,0,2
0,0,0,0,0,0,5422,558,175,1,1,1,232,1,4,2
0,0,0,0,0,0,5446,538,94,0,7,3,72,0,0,1
1,0,1,1,0,0,5481,523,400,1,9,6,449,3,6,2
0,0,0,0,0,0,5440,533,2,0,1,1,5,0,0,0
0,0,0,0,0,0,5485,535,142,0,3,0,148,0,2,3
1,0,1,1,0,0,5492,546,47,0,2,0,34,1,1,0
0,0,0,0,0,0,5449,543,274,0,10,4,273,1,2,1
4,0,4,4,1,1,5480,547,623,0,13,5,686,4,5,4
0,0,0,0,0,0,5472,558,26,0,1,0,43,2,0,0
0,0,0,0,0,0,5514,530,251,0,2,1,316,1,1,1
0,0,0,0,0,0,5486,528,14,0,3,0,11,0,0,0
0,0,0,0,0,0,5484,555,1,0,0,0,3,0,0,2
0,0,0,0,0,0,5480,539,7,0,1,0,6,0,0,0
0,0,0,0,0,0,5521,528,82,0,2,0,88,0,1,0
2,0,2,2,1,0,5435,542,488,0,11,9,527,3,6,2
3,0,3,3,2,0,5413,558,452,0,4,2,435,1,6,2
1,0,1,1,1,0,5495,528,374,0,4,1,381,0,5,2
1,0,1,1,0,0,5438,549,262,0,3,3,310,0,4,3
0,0,0,0,0,0,5484,537,2,0,0,0,1,0,0,0
0,0,0,0,0,0,5496,531,8,0,0,0,3,0,0,0
0,0,0,0,0,0,5499,533,80,0,3,1,52,0,1,0
0,0,0,0,0,0,5419,535,238,0,7,0,282,0,0,2
0,0,0,0,0,0,5440,542,5,0,0,0,0,0,0,0
1,0,1,1,0,0,5465,533,177,0,5,1,227,0,2,2
2,0,2,2,0,0,5416,530,422,0,5,2,507,2,5,2
4,0,4,4,0,1,5439,533,700,0,17,5,670,2,8,5
0,0,0,0,0,0,5509,530,8,0,0,0,4,0,0,1
1,0,1,1,1,0,5464,535,11,0,1,0,3,0,0,0
0,0,0,0,0,0,5459,527,43,0,2,1,31,1,1,0
0,0,0,0,0,0,5470,523,81,0,3,2,55,0,1,1
2,0,2,2,0,0,5450,539,596,0,15,7,622,4,8,2
0,0,0,0,0,0,5453,539,10,0,0,0,7,1,0,0
3,0,3,3,0,1,5445,547,460,0,11,6,459,0,5,1
0,0,0,0,0,0,5476,528,49,0,5,1,40,0,0,0
3,0,3,3,0,0,5451,554,554,0,10,4,561,4,4,5
2,0,2,2,1,0,5470,546,303,0,5,3,366,2,4,0
1,0,1,1,0,0,5439,525,77,0,4,0,61,0,0,0
0,0,0,0,0,0,5400,550,1,0,0,0,4,0,0,0
2,0,2,2,0,1,5409,521,541,0,9,7,539,5,6,5
0,0,0,0,0,0,5476,544,138,0,2,0,125,1,1,0
3,0,3,3,0,2,5451,545,516,0,12,4,557,1,7,2
0,0,0,0,0,0,5492,541,27,0,0,1,22,0,1,0
4,0,4,4,0,0,5520,532,528,0,10,4,589,1,7,0
0,0,0,0,0,0,5476,536,2,0,0,0,0,0,0,0
0,0,0,0,0,0,5516,535,13,0,2,0,8,0,0,0
0,0,0,0,0,0,5464,534,283,0,6,2,295,1,6,1
5,0,5,5,0,0,5461,520,410,0,6,2,444,2,3,2
3,0,3,3,1,1,5498,544,615,1,10,6,626,1,8,5
0,0,0,0,0,0,5487,510,2,0,1,0,1,0,0,0
0,0,0,0,0,0,5405,533,7,0,1,0,5,1,1,0
0,0,0,0,0,0,5458,537,1,0,0,0,0,0,0,0
2,0,2,2,1,1,5464,529,722,0,16,4,781,0,15,6
0,0,0,0,0,0,5470,540,90,0,2,5,74,3,2,1
1,0,1,1,0,0,5385,524,486,0,6,5,497,1,4,1
2,0,2,2,0,0,5487,535,329,0,5,1,390,0,3,0
0,0,0,0,0,0,5523,533,23,0,1,0,22,0,1,0
3,0,3,3,0,0,5442,540,523,0,11,6,537,5,11,1
3,0,3,3,0,1,5528,508,427,0,11,4,483,0,7,1
0,0,0,0,0,0,5471,528,9,0,0,0,9,0,0,0
3,0,3,3,0,0,5418,551,330,0,7,4,375,3,6,1
0,0,0,0,0,0,5495,524,11,0,1,0,11,1,0,1
1,0,1,1,1,0,5473,537,394,0,5,8,369,3,6,7
0,0,0,0,0,0,5482,519,39,0,3,0,39,0,1,0
2,0,2,2,1,1,5518,535,447,0,8,3,468,4,7,4
0,0,0,0,0,0,5432,530,0,0,1,0,0,0,0,0
2,0,2,2,0,0,5426,553,500,0,13,2,517,5,4,4
2,0,2,2,1,0,5428,528,376,0,6,6,311,1,3,1
0,0,0,0,0,0,5408,553,60,0,1,0,37,1,0,0
0,0,0,0,0,0,5422,532,64,0,1,1,53,1,0,0
1,0,1,1,0,0,5498,523,393,0,4,6,460,1,3,3
0,0,0,0,0,0,5442,553,15,0,1,0,14,1,0,1
0,0,0,0,0,0,5449,540,41,0,1,0,28,0,0,0
2,0,2,2,1,1,5519,532,565,0,4,9,579,1,4,1
0,0,0,0,0,0,5424,537,1,0,0,0,4,0,0,0
0,0,0,0,0,0,5461,556,131,0,8,0,170,1,3,2
0,0,0,0,0,0,5489,534,22,0,2,0,11,1,0,0
0,0,0,0,0,0,5488,552,85,0,1,1,104,1,1,0
3,0,3,3,0,1,5404,546,469,0,9,5,438,0,4,1
0,0,0,0,0,0,5487,536,18,0,0,0,20,0,0,0
2,0,2,2,2,0,5469,537,266,0,4,2,242,4,5,1
0,0,0,0,0,0,5438,534,1,0,0,0,0,0,0,0
0,0,0,0,0,0,5453,565,1,0,0,0,0,0,0,0
0,0,0,0,0,0,5426,518,464,0,8,2,488,2,5,2
0,0,0,0,0,0,5457,534,7,0,0,1,0,0,1,0
0,0,0,0,0,0,5512,537,25,0,3,1,11,1,0,0
0,0,0,0,0,0,5417,552,11,0,0,0,8,0,0,0
0,0,0,0,0,0,5448,530,40,0,0,0,46,1,0,1
0,0,0,0,0,0,5458,538,30,0,0,0,11,1,1,0
0,0,0,0,0,0,5457,526,7,0,1,1,1,0,0,0
0,0,0,0,0,0,5409,541,104,0,2,1,75,0,1,0
0,0,0,0,0,0,5412,533,6,0,0,0,2,0,0,0
1,0,1,1,0,0,5455,539,80,0,3,0,64,2,2,1
