vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
0,0,0,0,0,0,4891,1097,19,0,0,1,15,0,1,0
0,0,0,0,0,0,4921,1060,17,0,2,1,10,0,2,0
0,0,0,0,0,0,4948,1080,88,0,2,0,96,0,0,0
0,0,0,0,0,0,4890,1104,5,0,0,1,1,0,0,0
0,0,0,0,0,0,4834,1121,112,0,2,3,73,2,2,0
0,0,0,0,0,0,4938,1067,4,0,0,0,2,0,0,0
0,0,0,0,0,0,4976,1059,166,0,3,0,189,1,3,2
0,0,0,0,0,0,4884,1062,150,0,7,1,133,2,0,0
0,0,0,0,0,0,4897,1106,31,0,2,0,26,0,2,0
0,0,0,0,0,0,4886,1113,3,0,0,0,1,0,0,0
0,0,0,0,0,0,4893,1105,124,0,2,1,100,1,1,1
0,0,0,0,0,0,4873,1109,46,0,1,0,49,1,2,0
0,0,0,0,0,0,4912,1075,101,0,1,1,81,0,2,0
0,0,0,0,0,0,4874,1106,123,0,1,0,124,1,0,2
0,0,0,0,0,0,4873,1080,57,0,3,0,36,2,2,0
0,0,0,0,0,0,4936,1074,56,0,1,0,55,2,2,0
0,0,0,0,0,0,4893,1099,122,0,3,1,88,2,0,1
0,0,0,0,0,0,4875,1104,12,0,0,0,4,0,0,0
0,0,0,0,0,0,4903,1076,99,0,3,1,112,2,0,2
0,0,0,0,0,0,4887,1116,231,1,9,5,236,2,1,1
0,0,0,0,0,0,4868,1105,128,0,4,0,123,2,5,2
0,0,0,0,0,0,4858,1098,79,0,1,1,75,0,1,0
1,0,1,1,0,0,4934,1110,186,0,3,4,208,6,3,0
0,0,0,0,0,0,4928,1095,21,0,0,1,15,0,1,0
0,0,0,0,0,0,4858,1144,206,0,3,4,246,2,3,0
0,0,0,0,0,0,4875,1108,6,0,1,0,1,0,0,0
0,0,0,0,0,0,4893,1094,24,0,1,0,8,0,0,0
0,0,0,0,0,0,4815,1116,9,0,0,1,5,0,0,0
0,0,0,0,0,0,4911,1075,190,0,5,1,148,3,1,0
0,0,0,0,0,0,4863,1097,23,0,1,0,17,0,1,0
0,0,0,0,0,0,4945,1078,34,0,2,1,39,0,0,0
0,0,0,0,0,0,4944,1107,44,0,3,0,38,1,1,0
0,0,0,0,0,0,4895,1088,155,0,3,1,168,0,2,0
0,0,0,0,0,0,4881,1078,269,0,6,2,254,2,4,1
0,0,0,0,0,0,4896,1084,125,0,2,3,120,1,2,1
0,0,0,0,0,0,4984,1069,70,0,3,0,55,0,0,0
0,0,0,0,0,0,4862,1109,328,0,8,4,394,3,5,1
0,0,0,0,0,0,4956,1093,61,0,1,0,34,2,2,0
0,0,0,0,0,0,4913,1095,243,0,3,2,256,0,1,1
0,0,0,0,0,0,4912,1064,1,0,0,0,3,0,0,0
0,0,0,0,0,0,4977,1069,407,0,8,4,427,4,5,2
0,0,0,0,0,0,4923,1104,281,0,3,3,322,0,5,1
0,0,0,0,0,0,4867,1092,52,0,4,1,69,0,2,1
0,0,0,0,0,0,4855,1080,128,0,3,0,132,0,0,0
0,0,0,0,0,0,4933,1083,95,0,5,0,79,3,1,0
0,0,0,0,0,0,4922,1079,3,0,0,0,9,0,0,0
0,0,0,0,0,0,4855,1090,26,0,0,1,12,1,0,1
0,0,0,0,0,0,4975,1099,44,0,4,1,34,0,2,0
1,0,1,1,0,0,4904,1109,304,0,6,0,339,1,5,4
0,0,0,0,0,0,4897,1102,210,0,3,2,280,1,4,3
1,0,1,1,0,1,4909,1065,141,0,3,1,176,1,1,1
0,0,0,0,0,0,4960,1065,126,0,6,0,114,1,2,0
0,0,0,0,0,0,4906,1091,249,0,4,3,289,2,1,2
0,0,0,0,0,0,4927,1105,34,0,2,0,28,0,0,0
0,0,0,0,0,0,4927,1074,16,0,2,0,10,0,0,0
1,0,1,1,1,0,4915,1089,187,0,2,1,233,1,0,2
0,0,0,0,0,0,4892,1084,20,0,0,0,23,0,0,0
0,0,0,0,0,0,4854,1117,62,0,1,0,65,1,0,0
1,0,1,1,0,0,4956,1086,331,0,9,0,284,1,3,2
0,0,0,0,0,0,4915,1091,108,0,1,0,105,0,2,2
0,0,0,0,0,0,4862,1109,345,0,9,0,404,4,6,2
0,0,0,0,0,0,4886,1083,33,0,2,0,24,0,1,1
0,0,0,0,0,0,4889,1088,100,0,2,0,91,1,0,1
0,0,0,0,0,0,4881,1108,49,0,1,0,42,1,1,0
0,0,0,0,0,0,4900,1089,27,0,1,0,24,1,1,0
0,0,0,0,0,0,4959,1087,364,0,2,5,455,2,3,4
2,0,2,2,2,0,4858,1089,369,0,6,11,379,5,3,6
0,0,0,0,0,0,4833,1119,26,0,1,0,23,1,1,1
0,0,0,0,0,0,4907,1096,128,0,0,2,136,1,0,1
0,0,0,0,0,0,4831,1119,22,0,1,0,11,1,0,0
0,0,0,0,0,0,4954,1110,12,0,0,0,8,0,0,0
1,0,1,1,1,0,4958,1108,172,0,5,2,138,1,3,0
0,0,0,0,0,0,4873,1106,374,0,5,5,431,3,4,3
0,0,0,0,0,0,4979,1082,2,0,0,0,3,0,0,0
1,0,1,1,0,0,4843,1098,270,0,8,3,325,4,7,3
