vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
1,0,1,1,0,0,4330,1657,205,0,3,2,185,0,2,2
0,0,0,0,0,0,4300,1681,21,0,0,0,17,0,0,0
0,0,0,0,0,0,4394,1634,125,0,10,0,107,0,0,1
0,0,0,0,0,0,4320,1672,74,0,2,1,50,2,1,0
0,0,0,0,0,0,4268,1689,22,0,2,1,21,0,0,0
0,0,0,0,0,0,4337,1667,54,0,1,2,53,1,0,0
0,0,0,0,0,0,4366,1670,12,0,2,0,8,0,0,0
0,0,0,0,0,0,4287,1660,125,0,4,3,145,0,2,1
0,0,0,0,0,0,4329,1674,13,0,1,2,15,0,0,0
1,0,1,1,1,0,4330,1667,314,0,12,2,247,2,5,1
0,0,0,0,0,0,4328,1672,173,0,3,4,150,0,3,3
0,0,0,0,0,0,4290,1691,121,0,3,1,88,2,3,0
0,0,0,0,0,0,4291,1695,76,0,4,2,61,1,1,1
0,0,0,0,0,0,4318,1662,75,0,6,1,83,1,2,1
2,0,2,2,1,0,4301,1650,288,0,10,2,275,2,2,2
0,0,0,0,0,0,4327,1684,108,0,3,0,127,1,0,0
0,0,0,0,0,0,4326,1667,6,0,1,0,1,0,0,0
1,0,1,1,0,0,4323,1653,401,0,8,3,387,4,6,1
0,0,0,0,0,0,4305,1676,89,0,3,0,82,0,5,0
0,0,0,0,0,0,4317,1687,59,0,2,1,40,0,1,0
0,0,0,0,0,0,4310,1664,65,0,1,0,47,1,2,0
0,0,0,0,0,0,4315,1641,106,0,3,2,111,1,1,0
0,0,0,0,0,0,4401,1645,257,0,7,4,292,4,1,0
0,0,0,0,0,0,4375,1645,299,0,4,3,292,3,4,2
1,0,1,1,0,0,4311,1690,106,0,4,4,103,2,4,0
0,0,0,0,0,0,4323,1661,13,0,2,1,11,0,1,0
0,0,0,0,0,0,4338,1649,3,0,0,0,1,0,0,0
0,0,0,0,0,0,4265,1664,83,0,2,1,80,2,1,2
1,0,1,1,0,1,4332,1655,255,0,4,4,224,1,9,1
0,0,0,0,0,0,4269,1690,54,0,1,0,63,1,1,0
0,0,0,0,0,0,4327,1694,30,0,0,1,13,1,1,0
0,0,0,0,0,0,4350,1702,283,0,5,1,265,1,1,2
4,0,4,4,1,0,4318,1660,373,0,6,3,371,1,6,2
0,0,0,0,0,0,4287,1673,11,0,2,2,8,0,0,0
0,0,0,0,0,0,4310,1669,236,0,4,1,224,2,3,0
0,0,0,0,0,0,4347,1702,289,0,9,2,295,4,4,1
1,0,1,1,0,0,4271,1699,100,0,5,2,96,2,2,1
0,0,0,0,0,0,4401,1649,208,0,3,3,189,0,2,0
1,0,1,1,0,1,4387,1620,69,0,4,0,54,1,2,0
1,0,1,1,0,0,4322,1651,82,0,1,1,87,2,1,1
0,0,0,0,0,0,4397,1654,40,0,2,2,21,0,1,1
0,0,0,0,0,0,4360,1666,114,0,6,2,85,1,0,0
1,0,1,1,0,0,4314,1644,189,0,7,5,130,1,1,2
2,0,2,2,1,0,4267,1666,203,0,5,1,215,0,3,1
0,0,0,0,0,0,4316,1703,42,0,1,0,26,0,1,0
0,0,0,0,0,0,4357,1641,360,0,7,3,311,4,5,3
1,0,1,1,0,0,4279,1662,483,0,10,4,509,5,5,7
0,0,0,0,0,0,4382,1692,7,0,1,0,1,0,0,0
1,0,1,1,0,0,4336,1677,242,0,7,3,282,1,4,2
0,0,0,0,0,0,4333,1667,14,0,0,0,12,0,0,0
1,0,1,1,1,0,4305,1668,233,0,11,2,225,2,2,7
0,0,0,0,0,0,4348,1678,52,0,2,1,57,0,0,0
0,0,0,0,0,0,4313,1686,33,0,0,2,7,0,1,0
0,0,0,0,0,0,4370,1661,185,0,3,1,214,1,5,2
2,0,2,2,0,0,4364,1633,103,0,5,4,90,3,0,0
