vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
1,0,1,1,0,0,4330,1657,207,0,8,2,202,0,4,2
0,0,0,0,0,0,4299,1681,65,0,2,1,51,1,0,0
0,0,0,0,0,0,4390,1634,164,0,7,0,171,4,5,1
0,0,0,0,0,0,4320,1672,71,0,3,1,48,2,1,0
0,0,0,0,0,0,4268,1689,48,0,4,4,52,0,0,0
0,0,0,0,0,0,4336,1667,16,0,1,2,19,2,0,0
1,0,1,1,1,0,4365,1670,43,0,2,0,39,0,0,0
0,0,0,0,0,0,4286,1660,170,0,6,3,142,1,4,1
0,0,0,0,0,0,4329,1674,16,0,1,2,18,0,0,0
0,0,0,0,0,0,4331,1667,165,0,8,5,130,2,1,2
1,0,1,1,0,0,4327,1672,91,0,4,3,82,0,2,1
1,0,1,1,1,0,4290,1691,60,0,2,0,37,1,0,0
0,0,0,0,0,0,4291,1695,217,0,5,4,206,1,1,0
0,0,0,0,0,0,4319,1662,32,0,2,1,9,0,1,1
0,0,0,0,0,0,4303,1650,107,0,2,0,130,2,1,1
0,0,0,0,0,0,4328,1684,167,0,9,1,205,0,4,1
0,0,0,0,0,0,4326,1667,6,0,1,0,1,0,0,0
1,0,1,1,0,0,4326,1653,159,0,2,2,163,0,2,0
0,0,0,0,0,0,4305,1676,91,0,3,0,106,0,4,1
2,0,2,2,1,1,4314,1687,193,0,3,1,197,1,4,1
0,0,0,0,0,0,4309,1664,72,0,2,0,39,2,2,0
0,0,0,0,0,0,4315,1641,76,0,4,1,76,1,0,0
0,0,0,0,0,0,4401,1645,236,0,5,1,266,4,8,0
1,0,1,1,0,0,4376,1645,154,0,4,1,142,1,2,1
0,0,0,0,0,0,4312,1690,130,0,5,1,133,1,2,1
0,0,0,0,0,0,4323,1661,20,0,2,1,23,0,0,0
0,0,0,0,0,0,4338,1649,3,0,0,0,1,0,0,0
0,0,0,0,0,0,4266,1664,38,0,1,0,23,1,0,0
