vac_sus_dose1,vac_herd_dose_1,inf_dose_1,dead_dose_1,hosp_dose_1,icu_dose_1,vac_sus_dose_2,vac_herd_dose_2,inf_dose_2,dead_dose_2,hosp_dose_2,icu_dose_2,inf_n_vac,dead_n_vac,hosp_n_vac,icu_n_vac
0,0,0,0,0,0,4331,1657,253,0,2,2,186,0,3,1
0,0,0,0,0,0,4300,1681,26,0,0,1,19,0,0,0
2,0,2,2,1,0,4389,1634,151,0,7,2,146,3,2,1
1,0,1,1,0,1,4320,1672,164,0,4,2,121,1,2,1
0,0,0,0,0,0,4268,1689,40,0,2,3,47,0,0,0
0,0,0,0,0,0,4336,1667,20,0,1,2,20,2,0,0
0,0,0,0,0,0,4366,1670,12,0,2,0,8,0,0,0
0,0,0,0,0,0,4286,1660,121,0,3,0,112,1,2,0
0,0,0,0,0,0,4329,1674,13,0,1,2,15,0,0,0
0,0,0,0,0,0,4332,1667,210,0,10,3,133,1,3,0
1,0,1,1,0,0,4327,1672,147,0,4,3,142,0,4,1
1,0,1,1,0,0,4290,1691,118,0,1,0,133,1,2,3
0,0,0,0,0,0,4291,1695,127,0,3,1,128,1,2,0
0,0,0,0,0,0,4319,1662,22,0,2,1,9,0,1,1
0,0,0,0,0,0,4304,1650,96,0,3,0,108,1,2,0
0,0,0,0,0,0,4328,1684,102,0,4,0,85,0,1,0
0,0,0,0,0,0,4326,1667,6,0,1,0,1,0,0,0
0,0,0,0,0,0,4327,1653,108,0,1,2,111,0,0,0
1,0,1,1,0,1,4303,1676,116,0,6,1,96,1,4,0
3,0,3,3,0,1,4313,1687,274,0,5,2,318,2,10,0
0,0,0,0,0,0,4310,1664,82,0,1,0,73,1,3,0
1,0,1,1,0,0,4314,1641,139,0,6,2,148,1,5,1
0,0,0,0,0,0,4403,1645,70,0,3,0,65,2,2,0
1,0,1,1,0,0,4377,1645,212,0,6,2,228,1,7,0
1,0,1,1,0,0,4312,1690,275,0,9,1,302,1,6,2
0,0,0,0,0,0,4323,1661,14,0,2,1,20,0,0,0
0,0,0,0,0,0,4338,1649,3,0,0,0,1,0,0,0
0,0,0,0,0,0,4266,1664,25,0,1,0,12,1,0,0
0,0,0,0,0,0,4333,1655,135,0,4,1,116,1,5,1
1,0,1,1,0,0,4268,1690,116,0,4,0,201,1,4,2
4,0,4,4,2,0,4320,1694,276,0,2,3,260,5,4,3
0,0,0,0,0,0,4350,1702,232,0,9,2,234,1,3,2
3,0,3,3,1,0,4318,1660,327,0,14,4,311,2,8,1
0,0,0,0,0,0,4287,1673,11,0,2,2,8,0,0,0
0,0,0,0,0,0,4312,1669,88,0,1,1,86,0,0,0
0,0,0,0,0,0,4350,1702,112,0,5,2,89,1,0,0
1,0,1,1,0,0,4273,1699,126,0,5,4,125,0,0,1
0,0,0,0,0,0,4401,1649,35,0,1,0,19,0,0,0
1,0,1,1,0,0,4387,1620,134,0,4,0,131,1,2,0
1,0,1,1,1,0,4324,1651,66,0,0,0,100,0,0,0
1,0,1,1,0,0,4394,1654,152,0,4,2,116,2,2,0
1,0,1,1,1,0,4359,1666,88,0,5,4,78,1,1,0
2,0,2,2,1,1,4314,1644,276,0,5,5,230,0,2,3
2,0,2,2,1,0,4264,1666,224,0,4,2,237,4,1,3
0,0,0,0,0,0,4316,1703,52,0,1,0,32,0,1,0
0,0,0,0,0,0,4356,1641,275,0,7,1,290,5,6,2
1,0,1,1,0,0,4281,1662,330,0,8,5,336,2,2,0
0,0,0,0,0,0,4382,1692,7,0,1,0,0,0,0,0
1,0,1,1,1,0,4337,1677,86,0,2,0,65,0,1,2
0,0,0,0,0,0,4333,1667,69,0,1,0,48,0,0,0
0,0,0,0,0,0,4307,1668,90,0,4,1,98,1,0,4
0,0,0,0,0,0,4346,1678,139,0,4,3,163,2,2,0
0,0,0,0,0,0,4313,1686,33,0,0,2,7,0,1,0
0,0,0,0,0,0,4371,1661,108,0,3,0,85,0,0,2
0,0,0,0,0,0,4368,1633,63,0,6,0,59,0,0,0
2,0,2,2,1,0,4329,1672,179,0,9,1,185,4,3,0
1,0,1,1,0,1,4288,1686,99,0,6,3,61,2,0,1
